PROVINCIA,CIUDAD
 MORONA SANTIAGO,MACUMA  
 MORONA SANTIAGO,TUUTINENTZA 
 MORONA SANTIAGO,PUMPUENTSA
 MORONA SANTIAGO,LOGROÑO
 MORONA SANTIAGO,YAUPI
 MORONA SANTIAGO,SHIMPIS
 MORONA SANTIAGO,PABLO SEXTO
 MORONA SANTIAGO,SANTIAGO
 MORONA SANTIAGO,SAN JOSE DE MORONA
 NAPO,TENA
 NAPO,AHUANO
 NAPO,CHONTAPUNTA
 NAPO,PANO
 NAPO,PUERTO MISAHUALLI
 NAPO,PUERTO NAPO
 NAPO,TALAG
 NAPO,ARCHIDONA
 NAPO,COTUNDO
 NAPO,SAN PABLO DE USHPAYACU
 NAPO,EL CHACO
 NAPO,GONZALO DIAZ DE PINEDA (EL BOMBON) 
 NAPO,LINARES
 NAPO,OYACACHI
 NAPO,SANTA ROSA
 NAPO,SARDINAS
 NAPO,BAEZA
 NAPO,COSANGA
 NAPO,CUYUJA
 NAPO,PAPALLACTA
 NAPO,SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)
 NAPO,SUMACO
 NAPO,CARLOS JULIO AROSEMENA TOLA
 PASTAZA,PUYO
 PASTAZA,CANELOS
 PASTAZA,DIEZ  DE AGOSTO
 PASTAZA,FATIMA
 PASTAZA,MONTALVO (ANDOAS) 
 PASTAZA,POMONA
 PASTAZA,RIO CORRIENTES 
 PASTAZA,RIO TIGRE
 PASTAZA,SARAYACU
 PASTAZA,SIMON BOLIVAR  (CAB. EN MUSHULLACTA)
 PASTAZA,TARQUI
 PASTAZA,TENIENTE HUGO ORTIZ
 PASTAZA,VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA)
 PASTAZA,EL TRIUNFO
 PASTAZA,MERA
 PASTAZA,MADRE TIERRA
 PASTAZA,SHELL
 PASTAZA,SANTA CLARA
 PASTAZA,SAN JOSE
 PASTAZA,ARAJUNO
 PASTAZA,CURARAY
PICHINCHA,"QUITO DISTRITO METROPOLITANO, CABECERA CANTONAL, CAPITAL PROVINCIAL Y DE LA REPUBLICA DEL ECUADOR"
PICHINCHA,ALANGASI
PICHINCHA,AMAGUAÑA
PICHINCHA,ATAHUALPA (HABASPAMBA) 
PICHINCHA,CALACALI
PICHINCHA,CALDERON (CARAPUNGO) 
PICHINCHA,CONOCOTO
PICHINCHA,CUMBAYA
PICHINCHA,CHAVEZPAMBA
PICHINCHA,CHECA (CHILPA) 
PICHINCHA,EL QUINCHE
PICHINCHA,GUALEA
PICHINCHA,GUANGOPOLO
PICHINCHA,GUAYLLABAMBA
PICHINCHA,LA MERCED
PICHINCHA,LLANO CHICO
PICHINCHA,LLOA
PICHINCHA,NANEGAL
PICHINCHA,NANEGALITO
PICHINCHA,NAYON
PICHINCHA,NONO
PICHINCHA,PACTO
PICHINCHA,PERUCHO
PICHINCHA,PIFO
PICHINCHA,PINTAG
PICHINCHA,POMASQUI
PICHINCHA,PUELLARO
PICHINCHA,PUEMBO
PICHINCHA,SAN ANTONIO
PICHINCHA,SAN JOSE DE MINAS
PICHINCHA,TABABELA
PICHINCHA,TUMBACO
PICHINCHA,YARUQUI
PICHINCHA,ZAMBIZA
PICHINCHA,CAYAMBE
PICHINCHA,ASCAZUBI
PICHINCHA,CANGAHUA 
PICHINCHA,OLMEDO (PESILLO)
PICHINCHA,OTON
PICHINCHA,SANTA ROSA DE CUZUBAMBA
PICHINCHA,MACHACHI
PICHINCHA,ALOAG
PICHINCHA,ALOASI
PICHINCHA,CUTUGLAHUA
PICHINCHA,EL CHAUPI
PICHINCHA,MANUEL CORNEJO ASTORGA (TANDAPI)
PICHINCHA,TAMBILLO
PICHINCHA,UYUMBICHO
PICHINCHA,TABACUNDO
PICHINCHA,LA ESPERANZA
PICHINCHA,MALCHINGUI
PICHINCHA,TOCACHI
PICHINCHA,TUPIGACHI
PICHINCHA,SANGOLQUI
PICHINCHA,COTOGCHOA
PICHINCHA,RUMIPAMBA
PICHINCHA,SAN MIGUEL DE LOS BANCOS 
PICHINCHA,MINDO
PICHINCHA,PEDRO VICENTE MALDONADO
PICHINCHA,PUERTO QUITO
TUNGURAHUA,AMBATO
TUNGURAHUA,AMBATILLO
TUNGURAHUA,ATAHUALPA (CHISALATA) 
TUNGURAHUA,AUGUSTO N. MARTINEZ (MUNDUGLEO)
TUNGURAHUA,CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)
TUNGURAHUA,HUACHI GRANDE
TUNGURAHUA,IZAMBA
TUNGURAHUA,JUAN BENIGNO VELA
TUNGURAHUA,MONTALVO
TUNGURAHUA,PASA
TUNGURAHUA,PICAIGUA
TUNGURAHUA,PILAGÜIN (PILAHÜIN)
TUNGURAHUA,QUISAPINCHA (QUIZAPINCHA)
TUNGURAHUA,SAN BARTOLOME DE PINLLOG
TUNGURAHUA,SAN FERNANDO (PASA SAN FERNANDO)
TUNGURAHUA,SANTA ROSA
TUNGURAHUA,TOTORAS
TUNGURAHUA,CUNCHIBAMBA
TUNGURAHUA,UNAMUNCHO
TUNGURAHUA,BAÑOS DE AGUA SANTA
TUNGURAHUA,LLIGUA
TUNGURAHUA,RIO NEGRO
TUNGURAHUA,RIO VERDE
TUNGURAHUA,ULBA
TUNGURAHUA,CEVALLOS
TUNGURAHUA,MOCHA
TUNGURAHUA,PINGUILI
TUNGURAHUA,PATATE
TUNGURAHUA,EL TRIUNFO
TUNGURAHUA,LOS ANDES (CAB. EN POATUG) 
TUNGURAHUA,SUCRE (CAB. EN SUCRE-PATATE URCU)
TUNGURAHUA,QUERO
TUNGURAHUA,RUMIPAMBA
TUNGURAHUA,YANAYACU - MOCHAPATA (CAB. EN YANAYACU) 
TUNGURAHUA,PELILEO
TUNGURAHUA,BENITEZ (PACHANLICA) 
TUNGURAHUA,BOLIVAR
TUNGURAHUA,COTALO
TUNGURAHUA,CHIQUICHA (CAB. EN CHIQUICHA GRANDE)
TUNGURAHUA,EL ROSARIO (RUMICHACA)
TUNGURAHUA,GARCIA MORENO (CHUMAQUI)
TUNGURAHUA,GUAMBALO (HUAMBALO)
TUNGURAHUA,SALASACA
TUNGURAHUA,PILLARO
TUNGURAHUA,BAQUERIZO MORENO
TUNGURAHUA,EMILIO MARIA TERAN (RUMIPAMBA)
TUNGURAHUA,MARCOS ESPINEL (CHACATA) 
TUNGURAHUA,PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)
TUNGURAHUA,SAN ANDRES
TUNGURAHUA,SAN JOSE DE POALO
TUNGURAHUA,SAN MIGUELITO
TUNGURAHUA,TISALEO
TUNGURAHUA,QUINCHICOTO
 ZAMORA CHINCHIPE,ZAMORA
 ZAMORA CHINCHIPE,CUMBARATZA
 ZAMORA CHINCHIPE,GUADALUPE
 ZAMORA CHINCHIPE,IMBANA (LA VICTORIA DE IMBANA)
 ZAMORA CHINCHIPE,SABANILLA
 ZAMORA CHINCHIPE,TIMBARA
 ZAMORA CHINCHIPE,SAN CARLOS DE LAS MINAS
 ZAMORA CHINCHIPE,ZUMBA
 ZAMORA CHINCHIPE,CHITO
 ZAMORA CHINCHIPE,EL CHORRO
 ZAMORA CHINCHIPE,LA CHONTA
 ZAMORA CHINCHIPE,PUCAPAMBA
 ZAMORA CHINCHIPE,SAN ANDRES
 ZAMORA CHINCHIPE,GUAYZIMI
 ZAMORA CHINCHIPE,ZURMI
 ZAMORA CHINCHIPE,NUEVO PARAISO
 ZAMORA CHINCHIPE,28 DE MAYO (SAN JOSE DE YACUAMBI)
 ZAMORA CHINCHIPE,LA PAZ
 ZAMORA CHINCHIPE,TUTUPALI
 ZAMORA CHINCHIPE,YANTZAZA (YANZATZA)
 ZAMORA CHINCHIPE,CHICAÑA
 ZAMORA CHINCHIPE,LOS ENCUENTROS
 ZAMORA CHINCHIPE,EL PANGUI
 ZAMORA CHINCHIPE,EL GUISME 
 ZAMORA CHINCHIPE,PACHICUTZA
 ZAMORA CHINCHIPE,TUNDAYME
 ZAMORA CHINCHIPE,ZUMBI
 ZAMORA CHINCHIPE,PALANDA
 ZAMORA CHINCHIPE,EL PORVENIR DEL CARMEN
 ZAMORA CHINCHIPE,SAN FRANCISCO DEL VERGEL
 ZAMORA CHINCHIPE,VALLADOLID
 ZAMORA CHINCHIPE,LA CANELA
 ZAMORA CHINCHIPE,PAQUISHA
 ZAMORA CHINCHIPE,BELLAVISTA
 ZAMORA CHINCHIPE,NUEVO QUITO
 GALAPAGOS,PUERTO BAQUERIZO MORENO
 GALAPAGOS,EL PROGRESO
 GALAPAGOS,ISLA SANTA MARIA (FLOREANA) (CAB. EN  PTO. VELASCO IBARRA)
 GALAPAGOS,PUERTO VILLAMIL
 GALAPAGOS,TOMAS DE BERLANGA (SANTO TOMAS)
 GALAPAGOS,PUERTO AYORA
 GALAPAGOS,BELLAVISTA
 GALAPAGOS,SANTA ROSA (INCLUYE LA ISLA BALTRA)
SUCUMBIOS,NUEVA LOJA
SUCUMBIOS,DURENO
SUCUMBIOS,GENERAL FARFAN
SUCUMBIOS,EL ENO
SUCUMBIOS,PACAYACU
SUCUMBIOS,JAMBELI
SUCUMBIOS,SANTA CECILIA
SUCUMBIOS,LUMBAQUI
SUCUMBIOS,EL REVENTADOR   
SUCUMBIOS,GONZALO PIZARRO 
SUCUMBIOS,PUERTO LIBRE
SUCUMBIOS,PUERTO EL CARMEN DEL PUTUMAYO
SUCUMBIOS,PALMA ROJA
SUCUMBIOS,PUERTO BOLIVAR (PUERTO MONTUFAR)
SUCUMBIOS,PUERTO RODRIGUEZ
SUCUMBIOS,SANTA ELENA
SUCUMBIOS,SHUSHUFINDI
SUCUMBIOS,LIMONCOCHA
SUCUMBIOS,PAÑACOCHA
SUCUMBIOS,SAN ROQUE (CAB. EN SAN VICENTE)
SUCUMBIOS,SAN PEDRO DE LOS COFANES
SUCUMBIOS,SIETE DE JULIO
SUCUMBIOS,LA BONITA
SUCUMBIOS,EL PLAYON DE SAN FRANCISCO
SUCUMBIOS,LA SOFIA
SUCUMBIOS,ROSA FLORIDA
SUCUMBIOS,SANTA BARBARA
SUCUMBIOS,EL DORADO DE CASCALES
SUCUMBIOS,SANTA ROSA DE SUCUMBIOS
SUCUMBIOS,SEVILLA
SUCUMBIOS,TARAPOA 
SUCUMBIOS,CUYABENO
SUCUMBIOS,AGUAS NEGRAS
 ORELLANA,PUERTO FRANCISCO DE ORELLANA (EL COCA)
 ORELLANA,DAYUMA
 ORELLANA,TARACOA (CAB. EN NUEVA ESPERANZA: YUCA)
 ORELLANA,ALEJANDRO LABAKA
 ORELLANA,EL DORADO
 ORELLANA,EL EDEN
 ORELLANA,GARCIA MORENO
 ORELLANA,INES ARANGO (CAB. EN WESTERN)
 ORELLANA,LA BELLEZA
 ORELLANA,NUEVO PARAISO (CAB. EN UNIÓN CHIMBORAZO)
 ORELLANA,SAN JOSE DE GUAYUSA
 ORELLANA,SAN LUIS DE ARMENIA
 ORELLANA,NUEVO ROCAFUERTE
 ORELLANA,CAPITAN AUGUSTO RIVADENEYRA
 ORELLANA,CONONACO
 ORELLANA,SANTA MARIA DE HUIRIRIMA
 ORELLANA,TIPUTINI
 ORELLANA,YASUNI
 ORELLANA,LA JOYA DE LOS SACHAS
 ORELLANA,ENOKANQUI 
 ORELLANA,POMPEYA
 ORELLANA,SAN CARLOS
 ORELLANA,SAN SEBASTIAN DEL COCA
 ORELLANA,LAGO SAN PEDRO
 ORELLANA,RUMIPAMBA
 ORELLANA,TRES DE NOVIEMBRE
 ORELLANA,UNION MILAGREÑA
 ORELLANA,LORETO
 ORELLANA,AVILA (CAB. EN HUIRUNO) 
 ORELLANA,PUERTO MURIALDO
 ORELLANA,SAN JOSE DE PAYAMINO
 ORELLANA,SAN JOSE DE DAHUANO
 ORELLANA,SAN VICENTE DE HUATICOCHA
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO DE LOS COLORADOS
SANTO DOMINGO DE LOS TSACHILAS,ALLURIQUIN
SANTO DOMINGO DE LOS TSACHILAS,PUERTO LIMON
SANTO DOMINGO DE LOS TSACHILAS,LUZ DE AMERICA 
SANTO DOMINGO DE LOS TSACHILAS,SAN JACINTO DEL BUA
SANTO DOMINGO DE LOS TSACHILAS,VALLE HERMOSO
SANTO DOMINGO DE LOS TSACHILAS,EL ESFUERZO
SANTO DOMINGO DE LOS TSACHILAS,SANTA MARIA DEL TOACHI
SANTA ELENA,SANTA ELENA
SANTA ELENA,ATAHUALPA
SANTA ELENA,COLONCHE
SANTA ELENA,CHANDUY
SANTA ELENA,MANGLARALTO
SANTA ELENA,SIMON BOLIVAR (JULIO MORENO)
SANTA ELENA,SAN JOSE DE ANCON
SANTA ELENA,LA LIBERTAD
SANTA ELENA,SALINAS
SANTA ELENA,ANCONCITO
SANTA ELENA,JOSE LUIS TAMAYO (MUEY)
